"","Station.Name","lat","lon","fcc.url","getURL"
"36","AUTAUGA COUNTY SHERIFF DEPT",32.5791817,-86.4996546,"http://data.fcc.gov/api/block/find?latitude=32.5791817&longitude=-86.4996546&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""102""><Block FIPS=""010010209002040""/><County FIPS=""01001"" name=""Autauga""/><State FIPS=""01"" code=""AL"" name=""Alabama""/></Response>"
"37","BARBOUR COUNTY SHERIFF DEPT",39.1524817,-80.0392735,"http://data.fcc.gov/api/block/find?latitude=39.1524817&longitude=-80.0392735&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""139""><Block FIPS=""540019656002038""/><County FIPS=""54001"" name=""Barbour""/><State FIPS=""54"" code=""WV"" name=""West Virginia""/></Response>"
"38","BAY MINETTE POLICE DEPT",30.885431,-87.773486,"http://data.fcc.gov/api/block/find?latitude=30.885431&longitude=-87.773486&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""153""><Block FIPS=""010030105004049""/><County FIPS=""01003"" name=""Baldwin""/><State FIPS=""01"" code=""AL"" name=""Alabama""/></Response>"
"39","BAYOU LA BATRE POLICE DEPT",30.39353,-88.247001,"http://data.fcc.gov/api/block/find?latitude=30.39353&longitude=-88.247001&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""158""><Block FIPS=""010970073002054""/><County FIPS=""01097"" name=""Mobile""/><State FIPS=""01"" code=""AL"" name=""Alabama""/></Response>"
"40","BERRY POLICE DEPT",-34.77735,150.692868,"http://data.fcc.gov/api/block/find?latitude=-34.77735&longitude=150.692868&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""81""><Block/><County/><State/></Response>"
"41","BESSEMER POLICE DEPT",35.2852473,-81.2851763,"http://data.fcc.gov/api/block/find?latitude=35.2852473&longitude=-81.2851763&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""80""><Block FIPS=""370710308021039""/><County FIPS=""37071"" name=""Gaston""/><State FIPS=""37"" code=""NC"" name=""North Carolina""/></Response>"
"42","BIBB COUNTY SHERIFF DEPT",32.8291389,-83.637277,"http://data.fcc.gov/api/block/find?latitude=32.8291389&longitude=-83.637277&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""78""><Block FIPS=""130210137001168""/><County FIPS=""13021"" name=""Bibb""/><State FIPS=""13"" code=""GA"" name=""Georgia""/></Response>"
"43","BIRMINGHAM POLICE DEPT",33.520035,-86.810871,"http://data.fcc.gov/api/block/find?latitude=33.520035&longitude=-86.810871&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""80""><Block FIPS=""010730027001066""/><County FIPS=""01073"" name=""Jefferson""/><State FIPS=""01"" code=""AL"" name=""Alabama""/></Response>"
"44","BLOUNT COUNTY SHERIFF DEPT",35.7351421,-84.0466753,"http://data.fcc.gov/api/block/find?latitude=35.7351421&longitude=-84.0466753&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""93""><Block FIPS=""470090116021002""/><County FIPS=""47009"" name=""Blount""/><State FIPS=""47"" code=""TN"" name=""Tennessee""/></Response>"
"45","BLOUNTSVILLE POLICE DEPT",34.0813035,-86.5919962,"http://data.fcc.gov/api/block/find?latitude=34.0813035&longitude=-86.5919962&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""90""><Block FIPS=""010090505003010""/><County FIPS=""01009"" name=""Blount""/><State FIPS=""01"" code=""AL"" name=""Alabama""/></Response>"
"46","BOAZ POLICE DEPT",34.1957247,-86.1650002,"http://data.fcc.gov/api/block/find?latitude=34.1957247&longitude=-86.1650002&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""132""><Block FIPS=""010950311004020""/><County FIPS=""01095"" name=""Marshall""/><State FIPS=""01"" code=""AL"" name=""Alabama""/></Response>"
