"","X","Station.Name","lat","lon","fcc.url","getURL","Block.FIPS","County.FIPS","County.name","State.FIPS","State.code","State.name",".attrs.status",".attrs.executionTime","messages"
"5123",5489,"MOUNT CARMEL POLICE DEPT",32.7286111,35.0466667,"http://data.fcc.gov/api/block/find?latitude=32.7286111&longitude=35.0466667&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""144""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","144",NA
"5345",5738,"LEAGUE CITY POLICE DEPT",38.4716514,106.2422624,"http://data.fcc.gov/api/block/find?latitude=38.4716514&longitude=106.2422624&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""169""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","169",NA
"5363",5758,"MEADOWS PLACE POLICE DEPT",8.5691279,76.8714899,"http://data.fcc.gov/api/block/find?latitude=8.5691279&longitude=76.8714899&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""74""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","74",NA
"5384",5781,"NATIONAL POLICE",18.5183509,-70.0451535,"http://data.fcc.gov/api/block/find?latitude=18.5183509&longitude=-70.0451535&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""136""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","136",NA
"5456",5859,"SUTTON COUNTY SHERIFF DEPT",51.3614279,-0.193961,"http://data.fcc.gov/api/block/find?latitude=51.3614279&longitude=-0.193961&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""84""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","84",NA
"5624",6047,"GATE CITY POLICE DEPT",32.9853985,70.606395,"http://data.fcc.gov/api/block/find?latitude=32.9853985&longitude=70.606395&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""181""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","181",NA
"5664",6091,"PORTSMOUTH SHERIFF DEPT",50.816667,-1.083333,"http://data.fcc.gov/api/block/find?latitude=50.816667&longitude=-1.083333&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""94""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","94",NA
"5681",6109,"SOUTH HILL POLICE DEPT",21.4216825,109.1222199,"http://data.fcc.gov/api/block/find?latitude=21.4216825&longitude=109.1222199&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""122""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","122",NA
"5702",6134,"WHITE STONE POLICE DEPT",52.5230406,-1.4634146,"http://data.fcc.gov/api/block/find?latitude=52.5230406&longitude=-1.4634146&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""78""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","78",NA
"5706",6139,"YORK-POQUOSON SHERIFF DEPT",53.9599651,-1.0872979,"http://data.fcc.gov/api/block/find?latitude=53.9599651&longitude=-1.0872979&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""143""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","143",NA
"6007",6460,"COWLEY POLICE DEPT",51.7345104,-1.2139678,"http://data.fcc.gov/api/block/find?latitude=51.7345104&longitude=-1.2139678&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""165""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","165",NA
"6048",6517,"COROZAL POLICE DEPT",17.9221477,-87.9608774,"http://data.fcc.gov/api/block/find?latitude=17.9221477&longitude=-87.9608774&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""143""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","143",NA
"6052",6526,"ISABELA POLICE DEPT",10.2050233,122.9888374,"http://data.fcc.gov/api/block/find?latitude=10.2050233&longitude=122.9888374&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""119""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","119",NA
"6054",6535,"MUNICIPALITY OF AGUADILLA",10.5090665,-66.9456801,"http://data.fcc.gov/api/block/find?latitude=10.5090665&longitude=-66.9456801&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""73""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","73",NA
"6056",6537,"MUNICIPALITY OF HORMIGUEROS",27.2161111,-108.4197222,"http://data.fcc.gov/api/block/find?latitude=27.2161111&longitude=-108.4197222&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""96""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","96",NA
"6057",6538,"MUNICIPALITY OF MANATI",17.9703593,-92.9952377,"http://data.fcc.gov/api/block/find?latitude=17.9703593&longitude=-92.9952377&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""131""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","131",NA
"6058",6539,"MUNICIPIO AUTONOMO DE VILLALBA",10.2272758,-67.8768922,"http://data.fcc.gov/api/block/find?latitude=10.2272758&longitude=-67.8768922&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""77""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","77",NA
"6065",6552,"SANTA ISABEL POLICE DEPT",18.1693022,-77.7092123,"http://data.fcc.gov/api/block/find?latitude=18.1693022&longitude=-77.7092123&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""179""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","179",NA
